date_key,full_date,day,month,month_name,quarter,year,week_of_year,day_name,is_weekend
20170817,2017-08-17,17,8,August,Q3,2017,33,Thursday,0
20170818,2017-08-18,18,8,August,Q3,2017,33,Friday,0
20170819,2017-08-19,19,8,August,Q3,2017,33,Saturday,1
20170820,2017-08-20,20,8,August,Q3,2017,33,Sunday,1
20170821,2017-08-21,21,8,August,Q3,2017,34,Monday,0
20170822,2017-08-22,22,8,August,Q3,2017,34,Tuesday,0
20170823,2017-08-23,23,8,August,Q3,2017,34,Wednesday,0
20170824,2017-08-24,24,8,August,Q3,2017,34,Thursday,0
20170825,2017-08-25,25,8,August,Q3,2017,34,Friday,0
20170826,2017-08-26,26,8,August,Q3,2017,34,Saturday,1
20170827,2017-08-27,27,8,August,Q3,2017,34,Sunday,1
20170828,2017-08-28,28,8,August,Q3,2017,35,Monday,0
20170829,2017-08-29,29,8,August,Q3,2017,35,Tuesday,0
20170830,2017-08-30,30,8,August,Q3,2017,35,Wednesday,0
20170831,2017-08-31,31,8,August,Q3,2017,35,Thursday,0
20170901,2017-09-01,1,9,September,Q3,2017,35,Friday,0
20170902,2017-09-02,2,9,September,Q3,2017,35,Saturday,1
20170903,2017-09-03,3,9,September,Q3,2017,35,Sunday,1
20170904,2017-09-04,4,9,September,Q3,2017,36,Monday,0
20170905,2017-09-05,5,9,September,Q3,2017,36,Tuesday,0
20170906,2017-09-06,6,9,September,Q3,2017,36,Wednesday,0
20170907,2017-09-07,7,9,September,Q3,2017,36,Thursday,0
20170908,2017-09-08,8,9,September,Q3,2017,36,Friday,0
20170909,2017-09-09,9,9,September,Q3,2017,36,Saturday,1
20170910,2017-09-10,10,9,September,Q3,2017,36,Sunday,1
20170911,2017-09-11,11,9,September,Q3,2017,37,Monday,0
20170912,2017-09-12,12,9,September,Q3,2017,37,Tuesday,0
20170913,2017-09-13,13,9,September,Q3,2017,37,Wednesday,0
20170914,2017-09-14,14,9,September,Q3,2017,37,Thursday,0
20170915,2017-09-15,15,9,September,Q3,2017,37,Friday,0
20170916,2017-09-16,16,9,September,Q3,2017,37,Saturday,1
20170917,2017-09-17,17,9,September,Q3,2017,37,Sunday,1
20170918,2017-09-18,18,9,September,Q3,2017,38,Monday,0
20170919,2017-09-19,19,9,September,Q3,2017,38,Tuesday,0
20170920,2017-09-20,20,9,September,Q3,2017,38,Wednesday,0
20170921,2017-09-21,21,9,September,Q3,2017,38,Thursday,0
20170922,2017-09-22,22,9,September,Q3,2017,38,Friday,0
20170923,2017-09-23,23,9,September,Q3,2017,38,Saturday,1
20170924,2017-09-24,24,9,September,Q3,2017,38,Sunday,1
20170925,2017-09-25,25,9,September,Q3,2017,39,Monday,0
20170926,2017-09-26,26,9,September,Q3,2017,39,Tuesday,0
20170927,2017-09-27,27,9,September,Q3,2017,39,Wednesday,0
20170928,2017-09-28,28,9,September,Q3,2017,39,Thursday,0
20170929,2017-09-29,29,9,September,Q3,2017,39,Friday,0
20170930,2017-09-30,30,9,September,Q3,2017,39,Saturday,1
20171001,2017-10-01,1,10,October,Q4,2017,39,Sunday,1
20171002,2017-10-02,2,10,October,Q4,2017,40,Monday,0
20171003,2017-10-03,3,10,October,Q4,2017,40,Tuesday,0
20171004,2017-10-04,4,10,October,Q4,2017,40,Wednesday,0
20171005,2017-10-05,5,10,October,Q4,2017,40,Thursday,0
20171006,2017-10-06,6,10,October,Q4,2017,40,Friday,0
20171007,2017-10-07,7,10,October,Q4,2017,40,Saturday,1
20171008,2017-10-08,8,10,October,Q4,2017,40,Sunday,1
20171009,2017-10-09,9,10,October,Q4,2017,41,Monday,0
20171010,2017-10-10,10,10,October,Q4,2017,41,Tuesday,0
20171011,2017-10-11,11,10,October,Q4,2017,41,Wednesday,0
20171012,2017-10-12,12,10,October,Q4,2017,41,Thursday,0
20171013,2017-10-13,13,10,October,Q4,2017,41,Friday,0
20171014,2017-10-14,14,10,October,Q4,2017,41,Saturday,1
20171015,2017-10-15,15,10,October,Q4,2017,41,Sunday,1
20171016,2017-10-16,16,10,October,Q4,2017,42,Monday,0
20171017,2017-10-17,17,10,October,Q4,2017,42,Tuesday,0
20171018,2017-10-18,18,10,October,Q4,2017,42,Wednesday,0
20171019,2017-10-19,19,10,October,Q4,2017,42,Thursday,0
20171020,2017-10-20,20,10,October,Q4,2017,42,Friday,0
20171021,2017-10-21,21,10,October,Q4,2017,42,Saturday,1
20171022,2017-10-22,22,10,October,Q4,2017,42,Sunday,1
20171023,2017-10-23,23,10,October,Q4,2017,43,Monday,0
20171024,2017-10-24,24,10,October,Q4,2017,43,Tuesday,0
20171025,2017-10-25,25,10,October,Q4,2017,43,Wednesday,0
20171026,2017-10-26,26,10,October,Q4,2017,43,Thursday,0
20171027,2017-10-27,27,10,October,Q4,2017,43,Friday,0
20171028,2017-10-28,28,10,October,Q4,2017,43,Saturday,1
20171029,2017-10-29,29,10,October,Q4,2017,43,Sunday,1
20171030,2017-10-30,30,10,October,Q4,2017,44,Monday,0
20171031,2017-10-31,31,10,October,Q4,2017,44,Tuesday,0
20171101,2017-11-01,1,11,November,Q4,2017,44,Wednesday,0
20171102,2017-11-02,2,11,November,Q4,2017,44,Thursday,0
20171103,2017-11-03,3,11,November,Q4,2017,44,Friday,0
20171104,2017-11-04,4,11,November,Q4,2017,44,Saturday,1
20171105,2017-11-05,5,11,November,Q4,2017,44,Sunday,1
20171106,2017-11-06,6,11,November,Q4,2017,45,Monday,0
